kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1781020195.41097,0.0,0.0,0.0,lidar,native_s2m,bnb,proximity,-1.0
1,1781020197.477869,-0.005,-0.0198,0.00419,lidar,native_s2m,bnb,proximity,0.9398
2,1781020199.542723,-0.0043,-0.0202,0.0087,lidar,native_s2m,bnb,proximity,0.9293
3,1781020201.632478,-0.0095,-0.0219,0.00867,lidar,native_s2m,bnb,proximity,0.9291
4,1781020203.73224,-0.0067,-0.0205,0.00666,lidar,native_s2m,bnb,proximity,0.9292
5,1781020205.837855,-0.0109,-0.0233,0.00704,lidar,native_s2m,bnb,proximity,0.9286
6,1781020207.932102,-0.0049,-0.0216,0.00626,lidar,native_s2m,bnb,proximity,0.9303
7,1781020210.024702,-0.0101,-0.0259,0.00776,lidar,native_s2m,bnb,proximity,0.8966
8,1781020212.12489,-0.0046,-0.0241,0.00658,lidar,native_s2m,bnb,proximity,0.9231
9,1781020214.217849,-0.0059,-0.0221,0.0056,lidar,native_s2m,bnb,proximity,0.9299
10,1781020216.312679,0.0603,-0.0198,-0.01174,lidar,native_s2m,bnb,proximity,0.888
11,1781020218.089241,0.3259,-0.0303,-0.08793,lidar,native_s2m,bnb,proximity,0.8229
12,1781020219.663442,0.5778,-0.0454,-0.14724,lidar,native_s2m,bnb,proximity,0.8676
13,1781020220.918135,0.842,-0.0688,-0.1714,lidar,native_s2m,bnb,proximity,0.8487
14,1781020222.177157,1.0934,-0.0843,-0.14857,lidar,native_s2m,bnb,proximity,0.8282
15,1781020223.331321,1.3525,-0.1115,-0.16044,lidar,native_s2m,bnb,proximity,0.8602
16,1781020224.376352,1.6098,-0.1367,-0.17706,lidar,native_s2m,bnb,proximity,0.8539
17,1781020225.419106,1.8855,-0.167,-0.1904,lidar,native_s2m,bnb,proximity,0.8638
18,1781020226.359001,2.1382,-0.1957,-0.20363,lidar,native_s2m,bnb,proximity,0.8525
19,1781020227.390187,2.3997,-0.2118,-0.09827,lidar,native_s2m,bnb,proximity,0.8419
20,1781020228.429088,2.6544,-0.1813,0.08171,lidar,native_s2m,bnb,proximity,0.8409
21,1781020229.576178,2.9196,-0.1482,0.0754,lidar,native_s2m,bnb,proximity,0.8655
22,1781020230.619725,3.1852,-0.1325,-0.03284,lidar,native_s2m,bnb,proximity,0.8353
23,1781020231.668394,3.4649,-0.1441,-0.13113,lidar,native_s2m,bnb,proximity,0.8585
24,1781020232.70662,3.7383,-0.1567,-0.08392,lidar,native_s2m,bnb,proximity,0.8567
25,1781020233.752658,4.0058,-0.1415,-0.01687,lidar,native_s2m,bnb,proximity,0.8497
26,1781020234.691504,4.2631,-0.1282,-0.02693,lidar,native_s2m,bnb,proximity,0.8338
27,1781020235.626319,4.538,-0.1126,-0.04724,lidar,native_s2m,bnb,proximity,0.8395
28,1781020236.565734,4.811,-0.1077,-0.05569,lidar,native_s2m,bnb,proximity,0.812
29,1781020237.503124,5.0663,-0.0998,-0.04917,lidar,native_s2m,bnb,proximity,0.838
30,1781020238.549522,5.3305,-0.0845,-0.03297,lidar,native_s2m,bnb,proximity,0.8423
31,1781020239.383036,5.5193,-0.1108,-0.25871,lidar,native_s2m,bnb,proximity,0.8464
32,1781020240.108219,5.646,-0.1704,-0.48716,lidar,native_s2m,bnb,proximity,0.8771
33,1781020241.454595,5.8642,-0.3095,-0.67993,lidar,native_s2m,bnb,proximity,0.8877
34,1781020242.800217,6.0669,-0.4858,-0.80184,lidar,native_s2m,bnb,proximity,0.8647
35,1781020244.048859,6.2403,-0.6812,-0.89356,lidar,native_s2m,bnb,proximity,0.8902
36,1781020245.40036,6.4357,-0.8354,-0.66301,lidar,native_s2m,bnb,proximity,0.8903
37,1781020246.027545,6.5577,-0.884,-0.45231,lidar,native_s2m,bnb,proximity,0.866
38,1781020246.658924,6.7151,-0.8967,-0.21614,lidar,native_s2m,bnb,proximity,0.88
39,1781020247.704913,6.9761,-0.8988,-0.00173,lidar,native_s2m,bnb,proximity,0.8815
40,1781020248.642736,7.2199,-0.826,0.1817,lidar,native_s2m,bnb,proximity,0.8743
41,1781020249.266692,7.3643,-0.7508,0.41629,lidar,native_s2m,bnb,proximity,0.861
42,1781020250.513095,7.5725,-0.5974,0.53884,lidar,native_s2m,bnb,proximity,0.864
43,1781020251.552942,7.7958,-0.4611,0.52454,lidar,native_s2m,bnb,proximity,0.855
44,1781020252.582801,8.0082,-0.3245,0.44575,lidar,native_s2m,bnb,proximity,0.8665
45,1781020253.512711,8.2388,-0.2203,0.32803,lidar,native_s2m,bnb,proximity,0.8808
46,1781020254.554081,8.4982,-0.1472,0.19741,lidar,native_s2m,bnb,proximity,0.8894
47,1781020255.599538,8.7529,-0.1012,0.09865,lidar,native_s2m,bnb,proximity,0.8794
48,1781020256.63569,9.0068,-0.0695,0.02181,lidar,native_s2m,bnb,proximity,0.8849
49,1781020257.782312,9.2837,-0.0358,0.05993,lidar,native_s2m,bnb,proximity,0.8695
50,1781020258.721347,9.5341,-0.0077,0.04437,lidar,native_s2m,bnb,proximity,0.864
51,1781020259.659839,9.7861,0.0286,0.09258,lidar,native_s2m,bnb,proximity,0.8496
52,1781020260.703532,10.0468,0.079,0.11885,lidar,native_s2m,bnb,proximity,0.884
53,1781020261.642786,10.3046,0.1308,0.12132,lidar,native_s2m,bnb,proximity,0.8851
54,1781020262.266426,10.446,0.208,0.3605,lidar,native_s2m,bnb,proximity,0.8716
55,1781020263.207755,10.6108,0.2486,0.14913,lidar,native_s2m,bnb,proximity,0.8778
56,1781020264.983253,10.8643,0.2652,-0.01949,lidar,native_s2m,bnb,proximity,0.8968
57,1781020266.545742,11.1227,0.2638,-0.10947,lidar,native_s2m,bnb,proximity,0.9009
58,1781020267.899751,11.376,0.2506,-0.1215,lidar,native_s2m,bnb,proximity,0.8972
59,1781020269.992059,11.2811,0.26,-0.24475,lidar,native_s2m,bnb,proximity,0.9111
60,1781020270.617276,11.1247,0.2916,-0.47623,lidar,native_s2m,bnb,proximity,0.8883
61,1781020271.353586,10.9548,0.3796,-0.69084,lidar,native_s2m,bnb,proximity,0.895
62,1781020271.772426,10.8519,0.4399,-0.90069,lidar,native_s2m,bnb,proximity,0.8777
63,1781020272.19293,10.7739,0.5241,-1.11379,lidar,native_s2m,bnb,proximity,0.8853
64,1781020272.708875,10.6971,0.6326,-1.35389,lidar,native_s2m,bnb,proximity,0.8954
65,1781020274.792362,10.709,0.4644,-1.4801,lidar,native_s2m,bnb,proximity,0.9121
66,1781020275.932722,10.7535,0.196,-1.47871,lidar,native_s2m,bnb,proximity,0.9009
67,1781020276.972801,10.7825,-0.0554,-1.53456,lidar,native_s2m,bnb,proximity,0.9145
68,1781020278.119265,10.7943,-0.3291,-1.64669,lidar,native_s2m,bnb,proximity,0.9079
69,1781020279.270445,10.8159,-0.5832,-1.55354,lidar,native_s2m,bnb,proximity,0.9049
70,1781020280.945654,10.838,-0.8363,-1.53282,lidar,native_s2m,bnb,proximity,0.9266
71,1781020283.026473,10.8646,-1.0044,-1.54831,lidar,native_s2m,bnb,proximity,0.9479
72,1781020284.283341,10.8401,-0.7385,-1.56077,lidar,native_s2m,bnb,proximity,0.9387
73,1781020285.212607,10.8243,-0.4829,-1.5665,lidar,native_s2m,bnb,proximity,0.94
74,1781020285.942076,10.7961,-0.2878,-1.34825,lidar,native_s2m,bnb,proximity,0.9343
75,1781020286.460884,10.782,-0.1667,-1.13757,lidar,native_s2m,bnb,proximity,0.9115
