kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1781016122.967208,0.0,0.0,0.0,lidar,native_s2m,bnb,proximity,-1.0
1,1781016125.029663,-0.0195,0.0189,-0.01032,lidar,native_s2m,bnb,proximity,0.9089
2,1781016127.098071,-0.0151,0.0181,-0.00858,lidar,native_s2m,bnb,proximity,0.9225
3,1781016129.17237,-0.0185,0.0141,-0.00694,lidar,native_s2m,bnb,proximity,0.9146
4,1781016131.247017,-0.0173,0.0153,-0.00714,lidar,native_s2m,bnb,proximity,0.9239
5,1781016133.321741,-0.021,0.0172,-0.00955,lidar,native_s2m,bnb,proximity,0.8835
6,1781016135.398174,-0.026,0.019,-0.00729,lidar,native_s2m,bnb,proximity,0.8932
7,1781016137.472511,-0.0213,0.0224,-0.00661,lidar,native_s2m,bnb,proximity,0.89
8,1781016139.543311,0.0492,0.0247,-0.00615,lidar,native_s2m,bnb,proximity,0.8735
9,1781016140.998259,0.3205,0.0468,0.02161,lidar,native_s2m,bnb,proximity,0.8398
10,1781016142.0354,0.6044,0.0643,0.01175,lidar,native_s2m,bnb,proximity,0.8282
11,1781016142.979591,0.8577,0.1019,0.00398,lidar,native_s2m,bnb,proximity,0.8095
12,1781016144.015562,1.1322,0.1153,-0.01025,lidar,native_s2m,bnb,proximity,0.8567
13,1781016145.053634,1.4039,0.1356,-0.0142,lidar,native_s2m,bnb,proximity,0.8612
14,1781016145.782672,1.564,0.1222,-0.23181,lidar,native_s2m,bnb,proximity,0.8287
15,1781016146.823617,1.7946,0.0316,-0.45061,lidar,native_s2m,bnb,proximity,0.8665
16,1781016147.753077,1.9581,-0.0877,-0.66133,lidar,native_s2m,bnb,proximity,0.8506
17,1781016148.57896,2.0969,-0.2241,-0.87769,lidar,native_s2m,bnb,proximity,0.878
18,1781016149.522102,2.2696,-0.4188,-0.9169,lidar,native_s2m,bnb,proximity,0.8813
19,1781016150.04203,2.3853,-0.4909,-0.69099,lidar,native_s2m,bnb,proximity,0.8679
20,1781016151.193163,2.6252,-0.6121,-0.54111,lidar,native_s2m,bnb,proximity,0.874
21,1781016151.824673,2.8109,-0.6512,-0.32317,lidar,native_s2m,bnb,proximity,0.8611
22,1781016152.870582,3.0934,-0.682,-0.18066,lidar,native_s2m,bnb,proximity,0.8918
23,1781016153.704155,3.3362,-0.6641,0.06836,lidar,native_s2m,bnb,proximity,0.8333
24,1781016154.750989,3.611,-0.6223,0.08898,lidar,native_s2m,bnb,proximity,0.8517
25,1781016155.898879,3.8762,-0.5829,0.07534,lidar,native_s2m,bnb,proximity,0.8619
26,1781016157.044495,4.145,-0.549,0.06263,lidar,native_s2m,bnb,proximity,0.8827
27,1781016158.193456,4.3997,-0.512,0.04951,lidar,native_s2m,bnb,proximity,0.8975
28,1781016159.335152,4.6611,-0.4581,0.19585,lidar,native_s2m,bnb,proximity,0.8517
29,1781016160.265619,4.9084,-0.3934,0.19418,lidar,native_s2m,bnb,proximity,0.8733
30,1781016161.304993,5.1562,-0.2797,0.40693,lidar,native_s2m,bnb,proximity,0.8366
31,1781016162.346099,5.3869,-0.1572,0.41337,lidar,native_s2m,bnb,proximity,0.8694
32,1781016163.384193,5.5855,0.0141,0.61546,lidar,native_s2m,bnb,proximity,0.8354
33,1781016163.904884,5.6656,0.1248,0.83213,lidar,native_s2m,bnb,proximity,0.872
34,1781016164.523715,5.722,0.255,1.06773,lidar,native_s2m,bnb,proximity,0.8546
35,1781016165.562966,5.7776,0.4821,1.30014,lidar,native_s2m,bnb,proximity,0.8566
36,1781016166.280214,5.7681,0.6295,1.51095,lidar,native_s2m,bnb,proximity,0.8688
37,1781016167.533103,5.7476,0.8936,1.60183,lidar,native_s2m,bnb,proximity,0.8747
38,1781016168.87693,5.7517,1.1458,1.45131,lidar,native_s2m,bnb,proximity,0.9052
39,1781016169.819083,5.7788,1.2583,1.21922,lidar,native_s2m,bnb,proximity,0.8653
40,1781016170.847949,5.85,1.3556,0.99208,lidar,native_s2m,bnb,proximity,0.8838
41,1781016171.892263,5.9439,1.4778,0.76921,lidar,native_s2m,bnb,proximity,0.8879
42,1781016173.03077,6.1091,1.5889,0.53686,lidar,native_s2m,bnb,proximity,0.9159
43,1781016173.759622,6.2181,1.6362,0.32473,lidar,native_s2m,bnb,proximity,0.883
