kf,stamp,x,y,theta,sensor,fe,verifier,proposer,quality
0,1782485020.759277,0.0,0.0,0.0,lidar,native_s2m,pnp,proximity,-1.0
1,1782485022.859301,-0.0197,-0.0094,-0.00194,lidar,native_s2m,pnp,proximity,0.9329
2,1782485024.940258,-0.0175,-0.0086,-0.00047,lidar,native_s2m,pnp,proximity,0.9389
3,1782485027.025439,-0.0189,-0.0046,-0.00125,lidar,native_s2m,pnp,proximity,0.9262
4,1782485029.115248,-0.0058,-0.0092,-0.00103,lidar,native_s2m,pnp,proximity,0.9383
5,1782485031.194267,-0.0118,-0.0099,-0.00216,lidar,native_s2m,pnp,proximity,0.9304
6,1782485033.283308,-0.0152,-0.0056,-0.00172,lidar,native_s2m,pnp,proximity,0.9102
7,1782485035.366665,-0.0104,-0.0102,-0.00113,lidar,native_s2m,pnp,proximity,0.9123
8,1782485037.46856,-0.0099,-0.0128,0.00127,lidar,native_s2m,pnp,proximity,0.9143
9,1782485039.561627,-0.0153,-0.009,-0.00132,lidar,native_s2m,pnp,proximity,0.9381
10,1782485041.648663,-0.0072,-0.0083,0.00047,lidar,native_s2m,pnp,proximity,0.9327
11,1782485043.748981,-0.0154,-0.0067,0.00038,lidar,native_s2m,pnp,proximity,0.9395
12,1782485045.749313,-0.0219,-0.0109,-0.001,lidar,native_s2m,pnp,proximity,0.9231
13,1782485047.842991,-0.015,-0.0065,0.00032,lidar,native_s2m,pnp,proximity,0.9416
14,1782485049.927133,-0.0065,-0.0085,-0.00195,lidar,native_s2m,pnp,proximity,0.9282
15,1782485051.063108,0.2632,0.0134,-0.01817,lidar,native_s2m,pnp,proximity,0.8145
16,1782485051.792973,0.5329,0.0311,-0.03619,lidar,native_s2m,pnp,proximity,0.8051
17,1782485052.508003,0.8291,0.0282,-0.05046,lidar,native_s2m,pnp,proximity,0.8273
18,1782485053.135633,1.0839,0.0254,-0.05381,lidar,native_s2m,pnp,proximity,0.8168
19,1782485053.754949,1.3511,0.0295,-0.07645,lidar,native_s2m,pnp,proximity,0.8343
20,1782485054.378177,1.6388,0.0282,-0.06299,lidar,native_s2m,pnp,proximity,0.8355
21,1782485054.99802,1.9074,0.0686,0.13839,lidar,native_s2m,pnp,proximity,0.8546
22,1782485055.620859,2.1725,0.1201,0.1219,lidar,native_s2m,pnp,proximity,0.8306
23,1782485056.250095,2.4472,0.1735,0.09786,lidar,native_s2m,pnp,proximity,0.8565
24,1782485056.868379,2.728,0.2148,0.07693,lidar,native_s2m,pnp,proximity,0.8678
25,1782485057.493781,3.0123,0.2479,0.056,lidar,native_s2m,pnp,proximity,0.8679
26,1782485058.120639,3.2971,0.2812,0.0286,lidar,native_s2m,pnp,proximity,0.8603
27,1782485058.745927,3.5482,0.2643,-0.22467,lidar,native_s2m,pnp,proximity,0.733
28,1782485059.05958,3.6665,0.2231,-0.44414,lidar,native_s2m,pnp,proximity,0.8307
29,1782485059.679433,3.8871,0.1029,-0.63578,lidar,native_s2m,pnp,proximity,0.8594
30,1782485060.090149,3.9944,-0.004,-0.87051,lidar,native_s2m,pnp,proximity,0.8383
31,1782485060.402393,4.0481,-0.1061,-1.08925,lidar,native_s2m,pnp,proximity,0.8715
32,1782485061.121723,4.1612,-0.3777,-1.27346,lidar,native_s2m,pnp,proximity,0.9051
33,1782485061.856255,4.2281,-0.6666,-1.44237,lidar,native_s2m,pnp,proximity,0.8984
34,1782485062.5795,4.2658,-0.944,-1.54282,lidar,native_s2m,pnp,proximity,0.8884
35,1782485063.20511,4.2726,-1.2076,-1.63563,lidar,native_s2m,pnp,proximity,0.9039
36,1782485063.837318,4.2675,-1.4837,-1.65921,lidar,native_s2m,pnp,proximity,0.904
37,1782485064.465556,4.2655,-1.7562,-1.67482,lidar,native_s2m,pnp,proximity,0.909
38,1782485065.093905,4.2531,-2.0229,-1.6969,lidar,native_s2m,pnp,proximity,0.9097
39,1782485065.722627,4.2332,-2.284,-1.76018,lidar,native_s2m,pnp,proximity,0.8721
40,1782485066.041829,4.1877,-2.3907,-2.03812,lidar,native_s2m,pnp,proximity,0.8661
41,1782485066.3586,4.1181,-2.4793,-2.28422,lidar,native_s2m,pnp,proximity,0.8926
42,1782485066.676631,4.0416,-2.5496,-2.50286,lidar,native_s2m,pnp,proximity,0.9093
43,1782485067.502966,3.7902,-2.6904,-2.76487,lidar,native_s2m,pnp,proximity,0.8766
44,1782485067.816821,3.6847,-2.6998,-3.01863,lidar,native_s2m,pnp,proximity,0.9281
45,1782485068.54113,3.3978,-2.7195,3.13882,lidar,native_s2m,pnp,proximity,0.876
46,1782485069.166314,3.1231,-2.7166,3.03859,lidar,native_s2m,pnp,proximity,0.8978
47,1782485069.787999,2.8536,-2.7245,3.08095,lidar,native_s2m,pnp,proximity,0.8937
48,1782485070.419373,2.5662,-2.7229,3.06436,lidar,native_s2m,pnp,proximity,0.9003
49,1782485071.049193,2.2757,-2.7203,3.04566,lidar,native_s2m,pnp,proximity,0.8796
50,1782485071.674767,1.9787,-2.7114,3.01985,lidar,native_s2m,pnp,proximity,0.8807
51,1782485072.099745,1.8214,-2.6661,2.73869,lidar,native_s2m,pnp,proximity,0.8767
52,1782485072.421617,1.7265,-2.5968,2.52684,lidar,native_s2m,pnp,proximity,0.9035
53,1782485073.051511,1.5342,-2.4525,2.2671,lidar,native_s2m,pnp,proximity,0.904
54,1782485073.372598,1.4726,-2.3579,1.98275,lidar,native_s2m,pnp,proximity,0.853
55,1782485074.10063,1.4091,-2.0825,1.71194,lidar,native_s2m,pnp,proximity,0.8792
56,1782485074.516054,1.3994,-1.9226,1.50005,lidar,native_s2m,pnp,proximity,0.9231
57,1782485075.252684,1.4251,-1.6287,1.36959,lidar,native_s2m,pnp,proximity,0.91
58,1782485077.125205,1.368,-1.8975,1.33185,lidar,native_s2m,pnp,proximity,0.926
59,1782485077.742028,1.3484,-2.1526,1.53905,lidar,native_s2m,pnp,proximity,0.9307
60,1782485078.15368,1.3457,-2.3196,1.76193,lidar,native_s2m,pnp,proximity,0.9048
61,1782485078.466278,1.3749,-2.4338,2.03907,lidar,native_s2m,pnp,proximity,0.9075
62,1782485078.777813,1.4334,-2.561,2.32608,lidar,native_s2m,pnp,proximity,0.8853
63,1782485079.3934,1.646,-2.7401,2.48016,lidar,native_s2m,pnp,proximity,0.9218
64,1782485079.707613,1.7565,-2.8299,2.76093,lidar,native_s2m,pnp,proximity,0.8885
65,1782485080.019817,1.8896,-2.8796,3.06235,lidar,native_s2m,pnp,proximity,0.8892
66,1782485080.638137,2.173,-2.8621,-3.0324,lidar,native_s2m,pnp,proximity,0.906
